"('Halloween', 'NHL')",1
"('Drawing', 'Rap')",1
"('Bible', 'IMVU')",1
"('Scrubs', 'Walmart')",4
"('Godsmack', 'Pink')",1
"('Survivor', 'iHearts')",3
"('Inception', 'Monica')",1
"('Mayhem', 'Rammstein')",1
"('Camping', 'FML')",3
"('Kingfisher', 'Titanic')",1
"('Friendship', 'Hooters')",2
"('Doritos', 'Everything')",48
"('Casino', 'Pepsi')",2
"('Jackass', 'JustinBieber')",2
"('Tyga', 'YouTube')",54
"('Football', 'Naruto')",25
"('MythBusters', 'Playboy')",9
"('Disturbed', 'Goodfellas')",3
"('Camping', 'Disturbed')",33
"('Hockey', 'Pink')",18
"('Drinking', 'Reggae')",1
"('Reptar', 'Stewie')",3
"('CSI', 'iHearts')",1
"('Degrassi', 'Facebook')",30
"('Shakira', 'Swimming')",116
"('Survivor', 'TheOffice')",1
"('Common', 'Eclipse')",6
"('Walking', 'Weezer')",80
"('Family', 'Running')",14
"('Cuddling', 'Fred')",2
"('AKON', 'PopChat')",4
"('Rocky', 'SororityLife')",1
"('Bonfires', 'CHANEL')",12
"('Pantera', 'Redbox')",3
"('Kesha', 'Monica')",8
"('2011', 'Cuddling')",16
"('Games', 'Rocky')",6
"('Psych', 'Snickers')",1
"('Fastrack', 'Games')",97
"('Food', 'ZARA')",1
"('Love', 'Walgreens')",6
"('Plies', 'Psych')",14
"('Pizza', 'Target')",13
"('Bing', 'Futurama')",2
"('CNN', 'Fred')",1
"('Survivor', 'Zombieland')",2
"('HBO', 'Pink')",4
"('Jackass', 'Playboy')",1
"('Eating', 'Pandora')",1
"('Quotes', 'YoVille')",21
"('Rammstein', 'Smallville')",1
"('Subway', 'Texting')",467
"('Scrubs', 'Travel')",15
"('Disney', 'Nike')",3
"('NCIS', 'Rugrats')",7
"('Eating', 'JWOWW')",1
"('Scrubs', 'Wanted')",6
"('Conservative', 'Pink')",2
"('Pizza', 'Wii')",3
"('Maxwell', 'ShoeDazzle')",2
"('Flyleaf', 'House')",23
"('25', 'Bacardi')",61
"('Halloween', 'JWOWW')",30
"('Paramore', 'Volleyball')",7
"('Rihanna', 'Rubberduckzilla')",544
"('Expedia', 'Walmart')",1
"('Twitter', 'iCarly')",4
"('Rammstein', 'Weeds')",2
"('Drake', 'KISS')",3
"('Maltesers', 'Shrek')",1
"('FCBarcelona', 'Google')",1
"('Blues', 'Metallica')",4
"('Church', 'Jeep')",2
